,Intercept,MODE[T.STANDARD],MACHINE[T.RevEVO],MACHINE[T.zIngCT],MACHINE[T.RevEVO]:MODE[T.STANDARD],MACHINE[T.zIngCT]:MODE[T.STANDARD],CURR,MACHINE[T.RevEVO]:CURR,MACHINE[T.zIngCT]:CURR,VOLT,MACHINE[T.RevEVO]:VOLT,MACHINE[T.zIngCT]:VOLT,FOV
original_shape_Sphericity_Complete,0.0,0.9999999999798406,0.23541367295769833,0.43291186562285466,0.9445067106052688,0.8675674282020662,0.9999999999963128,0.8649113551222025,0.9999999999746583,0.9999999999912007,0.8885094304273272,0.7154126412937105,1.2743771944871686e-35
original_shape_SurfaceArea_Complete,8.003947004059291e-121,0.9999999999974964,0.3726907555865633,0.5604506996960233,0.9665620710843653,0.8705084762234956,0.9999999999989733,0.9184175041261389,0.9999999999998335,0.9999999999991912,0.6048224738912138,0.7216120610073238,6.554136164322431e-07
original_shape_SurfaceVolumeRatio_Complete,0.0,0.9999999999730259,0.3449126156088441,0.009874333095312316,0.9409516726061999,0.9464184244805617,0.9999999999876211,0.8564108878317584,0.9999999999658141,0.9999999999922086,0.2521204783051515,0.8831804539537789,1.1197116040463967e-61
original_shape_VoxelVolume_Complete,1.1076288948219015e-119,0.9999999999974241,0.5503644971372073,0.18401028356068772,0.9923585620959303,0.8861685083107004,0.9999999999989384,0.9813300938543834,0.9999999999997906,0.9999999999993073,0.4082787066806649,0.7543409132303789,0.930102282089027
original_firstorder_10Percentile_Complete,3.109744032706524e-16,4.988563581717448e-06,0.26460923649507656,2.0785393096008524e-10,0.14155393473156544,1.6005886751992525e-07,0.7849531826378724,0.8020677276354112,0.5156699481968445,1.3274701029065914e-06,0.045726410776922556,8.733296605569212e-10,0.020823033812826342
original_firstorder_90Percentile_Complete,6.290492377509803e-55,2.617966174343965e-06,0.9916421368969139,0.13511712017747873,0.00039964337251524395,0.00038399463798225895,0.9449006245685683,0.9047194239662217,0.9311002801766478,6.091584477851313e-21,0.3525607784445717,0.022005128400579756,3.9225380510751667e-07
original_firstorder_Energy_Complete,1.9891539892181523e-32,0.009599601972890571,0.5215611804731621,0.6122192686233434,0.0416453555612475,0.026620281258660495,0.9561897695367899,0.959639295179952,0.9945091403708606,4.439722660594414e-18,0.9774757999224992,0.23115990364198266,4.042106836859662e-05
original_firstorder_Entropy_Complete,4.319010407962721e-97,3.807653013932506e-10,0.6216449214841584,1.1889905860596757e-06,0.0021221576415703636,1.650309753625464e-10,0.7494995093019405,0.6808694394692649,0.5879893560078748,9.985124652817569e-14,0.03935686623700272,7.849531467503418e-08,5.5374871340541785e-11
original_firstorder_InterquartileRange_Complete,6.587605071517211e-42,0.00028513209255902377,0.9928836436089843,0.0006812299016485231,0.11431194597994515,0.00029448074352748867,0.986644112946012,0.8619042971633107,0.7763971317130566,1.16070453206234e-10,0.20721745553216456,2.5658543442547714e-05,3.6936077862882835e-07
original_firstorder_Kurtosis_Complete,2.598827688795022e-70,2.7501404761563843e-14,0.3541681455212812,3.3464880950606995e-05,0.8954088755167551,0.015134184113053555,0.4701573417281384,0.8893644064860247,0.7510672626269721,2.0759643980064338e-05,0.006702010697258046,9.854793165420398e-06,8.643548294404037e-17
original_firstorder_Maximum_Complete,1.173436635848936e-43,9.667957473224687e-05,0.7704100520567146,0.0010174656414480914,0.016590646870285834,7.188210172152317e-08,0.744749711800631,0.9251001943054468,0.6039063630496473,2.0832409461636224e-15,0.6101365006546517,0.0010430451622371363,3.76712468430906e-07
original_firstorder_MeanAbsoluteDeviation_Complete,1.0025144498272507e-47,1.169862912103915e-07,0.6199908031638823,0.00015183577300346114,0.0006309890744108319,3.5609986389130496e-06,0.9647880265675968,0.8660767672015609,0.8799353445727965,7.087364296708241e-14,0.0937780383532737,1.0331968504047448e-05,4.308669318099258e-06
original_firstorder_Mean_Complete,3.4563006501204536e-53,0.4716125232689734,0.27298156425874737,0.09797422546795127,0.23426883104305088,0.5163479477060892,0.9427087160390909,0.9706490881913524,0.874275314072358,8.432557210447315e-23,0.4853149968791681,0.529173989094766,3.958665024691712e-06
original_firstorder_Median_Complete,1.6366015206949508e-47,0.28874714389060513,0.08230554284666335,0.19128285697982877,0.7635665565040273,0.5045968113234469,0.89723265489447,0.9082511134011275,0.8812032407542842,3.9062435220051153e-20,0.1458143116530284,0.7452218211421603,6.623432431420986e-09
original_firstorder_Minimum_Complete,6.734189771307672e-10,6.00321641377562e-15,0.051001205245412115,3.617475344979426e-08,0.0025791349513344256,2.7219530651999986e-07,0.5723551595279365,0.1533175828634494,0.34470047233141843,0.01819237689614201,0.05305016489100393,2.2550307651001263e-07,0.0005453079813371666
original_firstorder_Range_Complete,7.503835470848135e-38,3.6567526014597925e-11,0.4578552563434529,5.161095755696244e-07,0.0014208525406750373,4.759677894048217e-10,0.9717791477294984,0.4445110375035384,0.40169729937595433,5.703535998889432e-08,0.1880267385972034,1.2425745629775654e-06,1.1921931865406181e-07
original_firstorder_RobustMeanAbsoluteDeviation_Complete,1.3211498822438923e-44,9.961178412876256e-06,0.8399842623301352,0.00045305990831867387,0.021712846025425392,7.12669233511678e-05,0.9770928027911865,0.8907662205407929,0.8350339239365371,6.044527219265284e-12,0.14196107695849325,1.9968854376258353e-05,6.221007479407333e-07
original_firstorder_RootMeanSquared_Complete,2.5503708869467614e-53,0.0016013470490191968,0.7015629285700172,0.26043559737452754,0.01075023708787065,0.0024315587644580276,0.94565563324989,0.9052606574048705,0.9979782339099219,1.090735960536288e-20,0.6979457524728809,0.04541869736497096,1.4960457991197804e-06
