,0,1,2,3
original_glcm_Autocorrelation_Complete,-0.9346675900340392,1.171113764862917,0.060788752163812944,-0.09411172906231018
original_glcm_ClusterProminence_L1,276.5964413852003,325.55976006503676,88.22177415957744,73.10627258444983
original_glcm_ClusterProminence_L2,212.47761912925188,298.8623910136342,-4.317860475031368,56.70217493538627
original_glcm_ClusterProminence_L3,67.50434124938155,131.0523282448468,-124.3088452774516,84.77819369492813
original_glcm_ClusterProminence_L4,152.30831797782812,146.67843746843542,-51.711115295997516,90.37097350297063
original_glcm_ClusterProminence_L5,123.71239841845932,161.54791094737053,35.18585814963363,128.648722067831
original_glcm_ClusterProminence_Complete,166.9891330245571,214.39449798357956,-7.709301847675612,84.2370312349032
original_glcm_ClusterShade_L1,3.9836533332999804,3.9149062106051122,1.550382559399849,1.0638733965953688
original_glcm_ClusterShade_L2,2.740042289307094,3.3833418146450227,0.0927720173011018,0.9234942067697364
original_glcm_ClusterShade_L3,1.1963194448809653,1.5913103258323116,-1.916506894205693,0.9557241080244699
original_glcm_ClusterShade_L4,1.254357643930718,1.5069586095870013,-0.7985051630965477,1.3135796923592657
original_glcm_ClusterShade_L5,1.5015327581373978,2.0483925555466107,-0.06730594286288,1.7529508100785116
original_glcm_ClusterShade_Complete,2.157819160232165,2.4820950595209252,-0.15244200115320328,1.1494825678167457
original_glcm_ClusterTendency_L1,0.04721149094222678,0.05864952387848523,0.11782507708685297,0.011806397392491773
original_glcm_ClusterTendency_L2,0.01634317927464813,0.04046032040190102,0.047565682893110875,0.011730065190986474
original_glcm_ClusterTendency_L3,-0.020343989080861664,0.0011570652380547997,0.045403011794871696,0.0022994294864213958
original_glcm_ClusterTendency_L4,0.0031812316159146145,0.014040897344079638,0.07403133831205792,0.003274582261994468
original_glcm_ClusterTendency_L5,0.017258027497088248,0.02394655215539761,0.11020123707582452,0.020627503808842314
original_glcm_ClusterTendency_Complete,0.01343438827141794,0.02879741732132019,0.07990386745491873,0.009318834447036285
original_glcm_Contrast_L1,-0.019790097525562756,0.0017710054749818696,-0.007510874649219171,0.0007222621237747988
original_glcm_Contrast_L2,-0.024416816932430693,0.0006792208871185694,-0.013065264692474347,-0.0008634376682855839
original_glcm_Contrast_L3,-0.030595767398576897,-0.003525350167201511,-0.020219503490989485,-0.0019166812866824264
original_glcm_Contrast_L4,-0.021783618122883895,-0.0032141391700321502,-0.01206775141540697,-0.0014700606412194133
original_glcm_Contrast_L5,-0.010827135830534426,0.0011262241641638417,-0.0029053719329611414,0.0020035711549910126
original_glcm_Contrast_Complete,-0.022057869485434464,-0.0006519228671985129,-0.011453601821223113,-0.0003601661653169213
original_glcm_Correlation_L1,6.766079934019892e-05,3.981442396728558e-06,7.826112086480635e-05,5.57333829708987e-07
original_glcm_Correlation_L2,8.252184179956649e-05,6.9551628605765926e-06,7.70742017875874e-05,9.315734927635807e-06
original_glcm_Correlation_L3,7.467691902472741e-05,1.2553899017992055e-05,8.765046722726273e-05,8.882696971927223e-06
original_glcm_Correlation_L4,5.952527049372221e-05,1.4178227691991438e-05,7.755309864971296e-05,7.290739950258628e-06
original_glcm_Correlation_L5,3.6374468570146816e-05,1.2536022678675595e-06,7.108683609218198e-05,-1.5548678737457442e-07
original_glcm_Correlation_Complete,6.588429510700636e-05,8.310126158862997e-06,8.001219971675978e-05,4.990257721594741e-06
original_glcm_DifferenceAverage_L1,-0.001129092559236585,-0.0001343435598172977,-0.00028335479344065236,-0.00022800356606252962
original_glcm_DifferenceAverage_L2,-0.001327920448634117,-0.00020014931636114588,-0.0008235116994178985,-0.00036082976252836343
original_glcm_DifferenceAverage_L3,-0.0014487473874228152,-0.0004652309574733129,-0.000908585860050864,-0.000379307534179458
original_glcm_DifferenceAverage_L4,-0.00098987633786487,-0.00041010839390074287,-0.0005321685438709011,-0.00040514529220907474
original_glcm_DifferenceAverage_L5,-0.00041830212744512163,-0.0001071335250571288,-2.5585863706600906e-05,-0.0001479080185393974
original_glcm_DifferenceAverage_Complete,-0.001100351887106918,-0.00026738885553989747,-0.0005348890301636587,-0.00030795755159063393
