,0,1,2,3
original_firstorder_10Percentile_L2,-0.9049999999999999,-0.7149999999999999,-0.6999999999999998,-0.5849999999999995
original_firstorder_10Percentile_L3,-1.1249999999999993,-0.9699999999999995,-0.8299999999999998,-0.7299999999999996
original_firstorder_10Percentile_L4,-1.1499999999999995,-0.9349999999999993,-0.8599999999999995,-0.7349999999999997
original_firstorder_10Percentile_L5,-1.1699999999999997,-0.9249999999999996,-0.8149999999999998,-0.6999999999999997
original_firstorder_10Percentile_Complete,-1.035,-0.8149999999999994,-0.7649999999999999,-0.6699999999999997
original_firstorder_90Percentile_L1,-4.3950000000000005,-4.2799999999999985,-3.0699999999999985,-3.1699999999999995
original_firstorder_90Percentile_L2,-4.134999999999997,-4.089999999999996,-3.0399999999999983,-3.0149999999999966
original_firstorder_90Percentile_L3,-4.814999999999996,-4.694999999999997,-3.485,-3.499999999999998
original_firstorder_90Percentile_L4,-4.744999999999997,-4.669999999999998,-3.5399999999999983,-3.5549999999999984
original_firstorder_90Percentile_L5,-4.5,-4.364999999999999,-3.349999999999997,-3.289999999999998
original_firstorder_90Percentile_Complete,-4.534999999999999,-4.449999999999997,-3.3,-3.339999999999997
original_firstorder_Energy_L1,-1116601528.7699997,-1059728846.2400001,-274578364.29999983,-268579980.65500003
original_firstorder_Energy_L2,-972721222.9749993,-917547374.2999998,-251944065.71999985,-237268087.32999992
original_firstorder_Energy_L3,-1214037988.3399994,-1134316749.5249994,-309356279.4999998,-292444219.38999987
original_firstorder_Energy_L4,-1143696115.7449994,-1066908467.0499992,-297680091.84499973,-283067295.0699999
original_firstorder_Energy_L5,-861156966.4050001,-807332739.3099998,-225848268.07999986,-214890961.65999994
original_firstorder_Energy_Complete,-5308213822.234997,-4985834176.424998,-1359407069.4449992,-1296250544.1049988
original_firstorder_Entropy_L1,-0.005846882068583136,-0.006884884224197637,-0.004630399195492816,-0.006032865487898155
original_firstorder_Entropy_L2,-0.006104874359826665,-0.007027252666162901,-0.005136234664123062,-0.006350032396343855
original_firstorder_Entropy_L3,-0.006454550763637136,-0.007098754325576131,-0.0051440164709894405,-0.006276047241006186
original_firstorder_Entropy_L4,-0.00639534822649073,-0.007186226321868623,-0.005057992395266066,-0.0063344430485206575
original_firstorder_Entropy_L5,-0.005673337676775562,-0.0066460040362378,-0.004860235745931677,-0.006282540147055781
original_firstorder_Entropy_Complete,-0.006157336063596747,-0.007034578263130802,-0.00499337171951244,-0.006274432870801973
original_firstorder_InterquartileRange_L1,-1.4949999999999988,-1.3599999999999999,-0.9949999999999991,-1.0699999999999992
original_firstorder_InterquartileRange_L2,-1.5649999999999993,-1.4849999999999999,-1.1049999999999998,-1.1499999999999988
original_firstorder_InterquartileRange_L3,-1.8199999999999976,-1.7174999999999987,-1.3599999999999994,-1.414999999999999
original_firstorder_InterquartileRange_L4,-1.889999999999999,-1.819999999999998,-1.4049999999999987,-1.4799999999999989
original_firstorder_InterquartileRange_L5,-1.8599999999999979,-1.7199999999999989,-1.395,-1.4349999999999985
original_firstorder_InterquartileRange_Complete,-1.7049999999999987,-1.6099999999999983,-1.264999999999999,-1.3049999999999995
original_firstorder_Kurtosis_L1,-0.006069813545196057,-0.0076134815179552204,-0.007877417026980926,-0.004501909101753389
original_firstorder_Kurtosis_L2,-0.005635539440016661,-0.006641518596430959,-0.007085907866919519,-0.0041686850600160166
original_firstorder_Kurtosis_L3,-0.0018681521387608545,-0.0034189529417586054,-0.0036000715242852917,-0.0007369851349774958
original_firstorder_Kurtosis_L4,-0.00046841230106373305,-0.0013204484060978005,-0.002887980860142835,0.0009846693858526602
original_firstorder_Kurtosis_L5,-0.0013164455807766237,-0.0037068067138363286,-0.002200484580251414,0.0005651490303332547
original_firstorder_Kurtosis_Complete,-0.0028693582175174414,-0.004359476042613875,-0.004484500786943561,-0.0013091153611585705
original_firstorder_Maximum_L1,-10.42499999999999,-11.239999999999997,-9.124999999999998,-8.325
original_firstorder_Maximum_L2,-10.114999999999995,-10.864999999999984,-8.284999999999997,-8.459999999999997
original_firstorder_Maximum_L3,-9.844999999999999,-12.059999999999993,-9.35999999999999,-8.274999999999995
original_firstorder_Maximum_L4,-12.099999999999996,-12.289999999999992,-8.429999999999994,-8.974999999999994
original_firstorder_Maximum_L5,-7.904999999999997,-11.424999999999985,-9.74,-8.739999999999993
original_firstorder_Maximum_Complete,-10.374999999999991,-12.289999999999992,-8.754999999999995,-8.709999999999996
original_firstorder_MeanAbsoluteDeviation_L1,-1.0827224570105503,-1.1199167422193834,-0.7683237818651726,-0.8184338987816573
original_firstorder_MeanAbsoluteDeviation_L2,-1.030545045246662,-1.064317472941995,-0.7857418002050255,-0.7874926527939338
original_firstorder_MeanAbsoluteDeviation_L3,-1.162975408430971,-1.1815799996500442,-0.8916767126858591,-0.9003968387201783
original_firstorder_MeanAbsoluteDeviation_L4,-1.1433067875323804,-1.1804301322046702,-0.8904960934237134,-0.910490189911567
original_firstorder_MeanAbsoluteDeviation_L5,-1.090268007708582,-1.113476773956077,-0.8530181197530546,-0.8638622955577266
original_firstorder_MeanAbsoluteDeviation_Complete,-1.110094203293955,-1.1397329756071015,-0.8415313988034958,-0.8609335234841219
original_firstorder_Mean_L1,-2.384595679679215,-2.1732769216081347,-1.6341673075491798,-1.623707577712172
original_firstorder_Mean_L2,-2.3376714764600126,-2.159875149488272,-1.658713478333139,-1.6348429168744476
original_firstorder_Mean_L3,-2.6865457769566268,-2.470242084697126,-1.884975849855097,-1.8612565303963229
original_firstorder_Mean_L4,-2.741277380529144,-2.49590633852082,-1.9358876386217037,-1.9152746972954622
original_firstorder_Mean_L5,-2.5915246564127563,-2.368873242871324,-1.8466617171205648,-1.82281858053884
original_firstorder_Mean_Complete,-2.5405721388316955,-2.3269118281165366,-1.7845320135106155,-1.7643017338991134
original_firstorder_Median_L1,-2.0249999999999995,-1.7549999999999988,-1.3199999999999992,-1.3149999999999995
original_firstorder_Median_L2,-2.084999999999999,-1.8149999999999993,-1.3624999999999996,-1.3849999999999991
original_firstorder_Median_L3,-2.309999999999999,-2.0149999999999997,-1.5099999999999987,-1.5649999999999997
original_firstorder_Median_L4,-2.4449999999999985,-2.099999999999999,-1.5699999999999992,-1.6199999999999999
original_firstorder_Median_L5,-2.2449999999999988,-1.974999999999999,-1.5149999999999992,-1.5899999999999987
original_firstorder_Median_Complete,-2.2099999999999986,-1.92,-1.429999999999999,-1.4599999999999993
original_firstorder_Minimum_L1,-1.7050000000000016,-1.6400000000000003,-1.7400000000000033,-0.8500000000000006
original_firstorder_Minimum_L2,-3.4900000000000015,-0.7650000000000009,-6.0299999999999985,-6.594999999999997
original_firstorder_Minimum_L3,-2.4400000000000013,-0.4000000000000011,-0.350000000000001,0.8199999999999993
original_firstorder_Minimum_L4,-3.34,-0.08500000000000052,-9.614999999999997,-6.919999999999996
original_firstorder_Minimum_L5,-1.7900000000000011,0.13999999999999851,-9.575,-6.689999999999996
original_firstorder_Minimum_Complete,-2.7950000000000013,0.08499999999999977,-9.194999999999999,-6.944999999999996
original_firstorder_Range_L1,-8.719999999999997,-9.599999999999989,-7.384999999999991,-7.474999999999989
original_firstorder_Range_L2,-6.624999999999988,-10.099999999999987,-2.254999999999996,-1.8649999999999975
original_firstorder_Range_L3,-7.404999999999998,-11.659999999999993,-9.00999999999999,-9.094999999999995
original_firstorder_Range_L4,-8.759999999999993,-12.204999999999993,1.1849999999999996,-2.0549999999999953
original_firstorder_Range_L5,-6.114999999999991,-11.564999999999996,-0.16499999999999831,-2.049999999999995
original_firstorder_Range_Complete,-7.579999999999989,-12.374999999999993,0.4400000000000103,-1.7649999999999986
original_firstorder_RobustMeanAbsoluteDeviation_L1,-0.65417396346698,-0.6385971763093978,-0.4495854631507328,-0.4819362201354706
original_firstorder_RobustMeanAbsoluteDeviation_L2,-0.6578360409841961,-0.6472819637758389,-0.48237186679081134,-0.4937622576222142
original_firstorder_RobustMeanAbsoluteDeviation_L3,-0.7728711583761706,-0.7590826705019283,-0.5836521998497143,-0.6053262525938437
original_firstorder_RobustMeanAbsoluteDeviation_L4,-0.7863545287638661,-0.7901154488706075,-0.5941182883426567,-0.6228092427998402
original_firstorder_RobustMeanAbsoluteDeviation_L5,-0.7613670636461555,-0.7358275803870129,-0.5868773329119307,-0.5931473231182872
original_firstorder_RobustMeanAbsoluteDeviation_Complete,-0.7254418446917084,-0.7161425568559994,-0.539680838560676,-0.561036712632907
original_firstorder_RootMeanSquared_L1,-2.765774756657221,-2.6807643225613558,-1.9256512406126858,-1.9679718854059556
original_firstorder_RootMeanSquared_L2,-2.671736234240933,-2.5991813530017653,-1.9511937318188526,-1.9406213443624023
original_firstorder_RootMeanSquared_L3,-3.0273399922884434,-2.909504527253398,-2.190052476791279,-2.1873430017616933
original_firstorder_RootMeanSquared_L4,-3.046231333259047,-2.913399680346328,-2.219851556661512,-2.226697552726253
original_firstorder_RootMeanSquared_L5,-2.8763924450638427,-2.7656354358020585,-2.1113158609539795,-2.118716809109005
original_firstorder_RootMeanSquared_Complete,-2.8764093610191046,-2.772780145802945,-2.076000783480673,-2.084954815312418
original_firstorder_Skewness_L1,-0.0013970557078211503,-0.0014584055203203615,-0.0016556711359985415,-0.0005159228566143807
original_firstorder_Skewness_L2,-0.0010649671611835771,-0.001273380764510371,-0.001478464347160061,-0.0004164099413381295
original_firstorder_Skewness_L3,-0.00011398382818086584,-0.0006284197650273805,-0.000858062847341909,0.00014772668908162405
original_firstorder_Skewness_L4,0.00034568607269778496,4.904503200868471e-05,-0.0007295269554934068,0.0005630982854207165
original_firstorder_Skewness_L5,-0.00031793444330518566,-0.0006977970198305839,-0.0006668602796083186,0.00047876019077429827
original_firstorder_Skewness_Complete,-0.000484056606677542,-0.0007757724500432824,-0.0010405893254182847,7.509577185066656e-05
original_firstorder_TotalEnergy_L1,-272607795.1098631,-258722862.85156244,-163661618.49677515,-160086299.74138808
original_firstorder_TotalEnergy_L2,-237480767.3278808,-224010589.42871085,-150170512.05586582,-141422938.72664747
original_firstorder_TotalEnergy_L3,-296395993.2470702,-276932800.17700195,-184390891.55543765,-174310508.35855457
original_firstorder_TotalEnergy_L4,-279222684.5080565,-260475699.9633789,-177431334.5839295,-168721420.4686718
original_firstorder_TotalEnergy_L5,-210243400.00122055,-197102719.55810535,-134616189.381482,-128085119.43489657
original_firstorder_TotalEnergy_Complete,-1295950640.194091,-1217244671.978759,-810270546.0734907,-772626286.7301586
original_firstorder_Uniformity_L1,0.00011584639292404163,0.00013955915153315601,0.000104447587731963,0.00015033329767677163
original_firstorder_Uniformity_L2,0.00013230178711777157,0.00015906453275680053,0.00012664621732190546,0.00018400977591735457
original_firstorder_Uniformity_L3,0.00012454489432198152,0.00014215651772836503,0.0001127163278824885,0.00016150118836273306
original_firstorder_Uniformity_L4,0.00012612534606145555,0.00014468305964481792,0.00011020483237736105,0.00016065023361089558
original_firstorder_Uniformity_L5,0.00011424290005402306,0.00013645549355071953,0.00010966150939838363,0.00016607122144057603
original_firstorder_Uniformity_Complete,0.00012322888634261597,0.00014447555398991658,0.00011265936603795347,0.00016256470591363294
original_firstorder_Variance_L1,-1045.617678330557,-1041.2982478202894,-665.6571031338013,-645.9660291912151
original_firstorder_Variance_L2,-909.6003793592246,-879.1548792144806,-620.1396868574188,-552.6196384343078
